date,tournament,tournament_url,position,player,deck,decklist_url
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,3rd,Ark4n,Dimir Tempo,https://www.mtggoldfish.com/deck/7617871
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,3rd,Stanshine,Affinity Stompy,https://www.mtggoldfish.com/deck/7616938
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,4th,m_himukai,Doomsday,https://www.mtggoldfish.com/deck/7617888
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,4th,TeaW1thRum,Red Stompy,https://www.mtggoldfish.com/deck/7616959
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,5th,trunks132,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7617867
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,5th,Ozymandias17,Dimir Tempo,https://www.mtggoldfish.com/deck/7616944
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,6th,_INF_,Painter,https://www.mtggoldfish.com/deck/7617883
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,6th,wonderPreaux,Doomsday,https://www.mtggoldfish.com/deck/7616941
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,7th,oskiyaa,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7617872
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,7th,TheGrimLavamancer,Sneak and Show,https://www.mtggoldfish.com/deck/7616949
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,8th,TrbnN,Cephalid Breakfast,https://www.mtggoldfish.com/deck/7617896
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,8th,SiL3nTGoaT,Red Stompy,https://www.mtggoldfish.com/deck/7616958
